T_id,Macro_rank,Macro_id,Macro_display,Macro_label,Meso_rank,Meso_id,Meso_display,Meso_label,Topic_ID,Label,N,Pct
CT1,0,1,Macro 1,Course-specific content and assignment problems,1,1,Meso 1,Assignment design and lecture-assessment alignment,2,Lack of clarity and support for assignments,683,4.038
CT2,0,1,Macro 1,Course-specific content and assignment problems,1,1,Meso 1,Assignment design and lecture-assessment alignment,3,Discrepancy Between Lectures and Assignments,670,3.961
CT3,0,1,Macro 1,Course-specific content and assignment problems,1,1,Meso 1,Assignment design and lecture-assessment alignment,6,Course organization and unclear assignments,503,2.974
CT4,0,1,Macro 1,Course-specific content and assignment problems,1,1,Meso 1,Assignment design and lecture-assessment alignment,7,Lack of depth and engagement in content,440,2.601
CT5,0,1,Macro 1,Course-specific content and assignment problems,1,1,Meso 1,Assignment design and lecture-assessment alignment,11,Inadequate alignment of assignments and lectures,310,1.833
CT6,0,1,Macro 1,Course-specific content and assignment problems,1,1,Meso 1,Assignment design and lecture-assessment alignment,23,Insufficient mathematical depth and support,211,1.247
CT7,0,1,Macro 1,Course-specific content and assignment problems,1,1,Meso 1,Assignment design and lecture-assessment alignment,33,Lack of clarity in video assignments and instructions,145,0.857
CT8,0,1,Macro 1,Course-specific content and assignment problems,1,1,Meso 1,Assignment design and lecture-assessment alignment,50,Overwhelming course content and unclear instructions,77,0.455
CT9,0,1,Macro 1,Course-specific content and assignment problems,1,1,Meso 1,Assignment design and lecture-assessment alignment,51,Mismatch between lectures and assignments,75,0.443
CT10,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",4,Video clarity and course materials,553,3.269
CT11,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",5,Lab specifications and clarity issues,517,3.056
CT12,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",12,Course content lacks depth and practical value,277,1.638
CT13,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",30,Course content and accessibility issues,156,0.922
CT14,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",31,Lack of clarity in math instruction,150,0.887
CT15,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",36,Poor course structure and inadequate support,138,0.816
CT16,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",37,Lack of practical machine learning training,119,0.703
CT17,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",38,Lab functionality and performance issues,103,0.609
CT18,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",40,Programming assignments and course clarity issues,99,0.585
CT19,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",46,Limited use of open-source tools in course,83,0.491
CT20,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",52,Inadequate Java learning resources and tools,73,0.432
CT21,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",54,Inadequate instruction for beginners in commands,70,0.414
CT22,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",55,Autograder issues hinder coding learning experience,66,0.39
CT23,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",59,Lack of practical application in networking training,61,0.361
CT24,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",65,Lack of technical depth and practical examples,55,0.325
CT25,0,1,Macro 1,Course-specific content and assignment problems,2,3,Meso 2,"Lab, tooling and platform-specific frictions",67,Insufficient depth and explanation in course content,52,0.307
CT26,0,1,Macro 1,Course-specific content and assignment problems,3,2,Meso 3,Outdated or thin course content (course-specific),13,Outdated course materials and service issues,262,1.549
CT27,0,1,Macro 1,Course-specific content and assignment problems,3,2,Meso 3,Outdated or thin course content (course-specific),16,Outdated content and lack of relevant emphasis,249,1.472
CT28,0,1,Macro 1,Course-specific content and assignment problems,3,2,Meso 3,Outdated or thin course content (course-specific),17,Insufficient explanations and course complexity issues,245,1.448
CT29,0,1,Macro 1,Course-specific content and assignment problems,3,2,Meso 3,Outdated or thin course content (course-specific),18,Lack of depth and clarity in content,241,1.425
CT30,0,1,Macro 1,Course-specific content and assignment problems,3,2,Meso 3,Outdated or thin course content (course-specific),19,Course content misalignment with expectations and difficulty,240,1.419
CT31,0,1,Macro 1,Course-specific content and assignment problems,3,2,Meso 3,Outdated or thin course content (course-specific),20,Lack of depth in nutrition content,233,1.377
CT32,0,1,Macro 1,Course-specific content and assignment problems,3,2,Meso 3,Outdated or thin course content (course-specific),21,Outdated tutorial videos and interface issues,224,1.324
CT33,0,1,Macro 1,Course-specific content and assignment problems,3,2,Meso 3,Outdated or thin course content (course-specific),29,Outdated content and poor JavaScript instruction,162,0.958
CT34,0,1,Macro 1,Course-specific content and assignment problems,3,2,Meso 3,Outdated or thin course content (course-specific),32,Course difficulty and content coverage issues,147,0.869
CT35,0,1,Macro 1,Course-specific content and assignment problems,3,2,Meso 3,Outdated or thin course content (course-specific),34,Lack of depth and specificity in content,144,0.851
CT36,0,1,Macro 1,Course-specific content and assignment problems,3,2,Meso 3,Outdated or thin course content (course-specific),44,Course content is outdated and lacks updates.,85,0.502
